Age,Address,User agent,Mac vendor,Discovered when
7,201 Ridgewood Rd,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",Intel Corporate,9 minutes ago
10,44 58th St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.19.3 Chrome/91.0.4472.164 Electron/13.2.1 Safari/537.36",Intel Corporate,about 1 hour ago
5,9 Church St,"Mozilla/5.0 (Linux; Android 11; Nokia 8.3 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",11 minutes ago
12,3829 Ventura Blvd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,about 1 hour ago
9,67 E Chestnut Hill Rd,"Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L01A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
11,23 Palo Alto Sq,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
11,4 Webbs Chapel Rd,"Mozilla/5.0 (X11; CrOS x86_64 13982.88.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.162 Safari/537.36",Intel Corporate,about 1 hour ago
9,70 Euclid Ave #722,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Samsung Electronics Co.,Ltd",about 1 hour ago
5,48 Lenox St,"Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L01A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
8,1088 Pinehurst St,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Word 16.0.13801; Pro),Intel Corporate,40 minutes ago
10,669 Packerland Dr #1438,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",Intel Corporate,about 1 hour ago
10,9 Murfreesboro Rd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",Intel Corporate,about 1 hour ago
5,6 Greenleaf Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",Intel Corporate,about 1 hour ago
10,44 W 4th St,"Mozilla/5.0 (X11; CrOS x86_64 13982.69.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.130 Safari/537.36","Apple, Inc.",about 1 hour ago
12,7 W Jackson Blvd,"Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L01A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
6,2239 Shawnee Mission Pky,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Excel 16.0.13801; Pro),Intel Corporate,about 1 hour ago
9,87 Sierra Rd,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Intel Corporate,about 1 hour ago
12,77 Massillon Rd #822,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",Intel Corporate,9 minutes ago
5,96541 W Central Blvd,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
5,37 N Elm St #916,Facebook,Intel Corporate,24 minutes ago
9,2139 Santa Rosa Ave,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Unknown,about 1 hour ago
9,2 A Kelley Dr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",Intel Corporate,about 1 hour ago
10,45 E Acacia Ct,SafariViewService/1.0 CFNetwork/978.0.7 Darwin/18.7.0,"Apple, Inc.",10 minutes ago
6,7 Eads St,Facebook,Intel Corporate,24 minutes ago
11,7667 S Hulen St #42,"Mozilla/5.0 (Linux; Android 9; Note_7P Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
11,21575 S Apple Creek Rd,Facebook,Intel Corporate,24 minutes ago
9,3 Secor Rd,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,40 minutes ago
5,33 State St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Apple, Inc.",about 1 hour ago
10,5 Green Pond Rd #4,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Word 16.0.13801; Pro),Intel Corporate,40 minutes ago
6,7 Benton Dr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Samsung Electronics Co.,Ltd",about 1 hour ago
8,37275 St  Rt 17m M,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",Intel Corporate,about 1 hour ago
5,187 Market St,"server-bag [Mac OS X,10.14.6,18G8012,MacBook10,1]",Intel Corporate,38 minutes ago
7,6794 Lake Dr E,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",Intel Corporate,about 1 hour ago
6,2881 Lewis Rd,"Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L01A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
7,386 9th Ave N,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,40 minutes ago
6,8597 W National Ave,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Unknown,about 1 hour ago
11,3211 E Northeast Loop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Unknown,about 1 hour ago
7,2 S 15th St,"server-bag [Mac OS X,10.15.7,19H1030,MacBookPro16,3]",Intel Corporate,40 minutes ago
5,7 W Pinhook Rd,"Mozilla/5.0 (Linux; Android 11; SM-G770F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
5,189 Village Park Rd,"Mozilla/5.0 (Linux; Android 11; M2103K19G Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,about 1 hour ago
6,92 Broadway,"Mozilla/5.0 (X11; CrOS x86_64 13982.88.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.162 Safari/537.36",Intel Corporate,about 1 hour ago
10,80 Pittsford Victor Rd #9,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Intel Corporate,about 1 hour ago
12,433 Westminster Blvd #590,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
12,70099 E North Ave,"server-bag [Mac OS X,10.14.6,18G9323,MacBookAir8,2]","Samsung Electronics Co.,Ltd",29 minutes ago
7,4 Cowesett Ave,"Mozilla/5.0 (Linux; Android 11; SM-G770F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
7,5 Boston Ave #88,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Samsung Electronics Co.,Ltd",about 1 hour ago
12,43 Huey P Long Ave,"Mozilla/5.0 (Linux; Android 6.0.1; SM-A300FU Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36 GSA/12.34.17.23.arm","Apple, Inc.",18 minutes ago
10,63517 Dupont St,"Mozilla/5.0 (Linux; Android 6.0.1; SM-A300FU Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36 GSA/12.34.17.23.arm","Apple, Inc.",18 minutes ago
12,137 Pioneer Way,A/7.1.1/samsung/SM-T560NU/MSM8916/wifi-only/QCX3/l15325911229736774147/-/-/-/samsung/393838/393839/-,SAMSUNG ELECTRO-MECHANICS(THAILAND),about 1 hour ago
5,13 S Hacienda Dr,"Mozilla/5.0 (X11; CrOS x86_64 13505.63.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36","Apple, Inc.",about 1 hour ago
5,67 Rv Cent,SafariViewService/1.0 CFNetwork/978.0.7 Darwin/18.7.0,"Apple, Inc.",10 minutes ago
11,74 S Westgate St,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
7,3381 E 40th Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Huawei Device Co., Ltd.",about 1 hour ago
8,35433 Blake St #588,"Mozilla/5.0 (Linux; Android 6.0.1; SM-A300FU Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36 GSA/12.34.17.23.arm","Apple, Inc.",18 minutes ago
6,74989 Brandon St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36",Intel Corporate,about 1 hour ago
6,3989 Portage Tr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.19.3 Chrome/91.0.4472.164 Electron/13.2.1 Safari/537.36",Intel Corporate,40 minutes ago
7,61304 N French Rd,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Intel Corporate,about 1 hour ago
12,9 W Central Ave,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Intel Corporate,about 1 hour ago
10,55713 Lake City Hwy,"Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L01A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
12,54169 N Main St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Apple, Inc.",about 1 hour ago
7,4 Otis St,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Excel 16.0.13801; Pro),Intel Corporate,about 1 hour ago
10,39 Moccasin Dr,okhttp/3.12.3,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",25 minutes ago
5,1 S Pine St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",Intel Corporate,about 1 hour ago
9,287 Youngstown Warren Rd,"Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-J320F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/13.2 Chrome/83.0.4103.106 Mobile Safari/537.36","Hon Hai Precision Ind. Co.,Ltd.",about 1 hour ago
5,506 S Hacienda Dr,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,40 minutes ago
10,6 Van Buren St,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,40 minutes ago
11,1 Garfield Ave #7,"server-bag [Mac OS X,10.14.6,18G9323,MacBookAir8,2]","Samsung Electronics Co.,Ltd",29 minutes ago
8,7 W 32nd St,"Mozilla/5.0 (Linux; Android 6.0.1; SM-A300FU Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36 GSA/12.34.17.23.arm","Apple, Inc.",18 minutes ago
6,395 S 6th St #2,"Mozilla/5.0 (Linux; Android 11; Nokia 8.3 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",11 minutes ago
7,6 Harry L Dr #6327,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.19.3 Chrome/91.0.4472.164 Electron/13.2.1 Safari/537.36",Intel Corporate,40 minutes ago
5,32820 Corkwood Rd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.19.3 Chrome/91.0.4472.164 Electron/13.2.1 Safari/537.36",Intel Corporate,about 1 hour ago
6,3270 Dequindre Rd,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Word 16.0.13801; Pro),Intel Corporate,40 minutes ago
6,747 Leonis Blvd,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0;),AzureWave Technology Inc.,28 minutes ago
9,27846 Lafayette Ave,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
5,99586 Main St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","Apple, Inc.",about 1 hour ago
6,25657 Live Oak St,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
12,96950 Hidden Ln,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Unknown,about 1 hour ago
7,2 W Grand Ave,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Intel Corporate,about 1 hour ago
10,134 Lewis Rd,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",Intel Corporate,40 minutes ago
10,98839 Hawthorne Blvd #6101,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",Unknown,42 minutes ago
12,749 W 18th St #45,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Intel Corporate,about 1 hour ago
8,2 Se 3rd Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",Unknown,42 minutes ago
6,9 N 14th St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",Intel Corporate,about 1 hour ago
11,65895 S 16th St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Huawei Device Co., Ltd.",about 1 hour ago
9,57254 Brickell Ave #372,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,about 1 hour ago
10,89 20th St E #779,"Mozilla/5.0 (Linux; Android 9; Note_7P Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
7,3 Lawton St,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Unknown,about 1 hour ago
10,71 San Mateo Ave,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
7,88827 Frankford Ave,"server-bag [Mac OS X,10.14.6,18G9323,MacBookAir8,2]","Samsung Electronics Co.,Ltd",29 minutes ago
9,66697 Park Pl #3224,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",Intel Corporate,9 minutes ago
6,5 Washington St #1,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Intel Corporate,about 1 hour ago
5,82 N Highway 67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,about 1 hour ago
10,987 Main St,"Mozilla/5.0 (Windows NT 10.0: Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Xiaomi Communications Co Ltd,about 1 hour ago
8,555 Main St,OfficeClickToRun,"Samsung Electronics Co.,Ltd",about 1 hour ago
6,1844 Southern Blvd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Samsung Electronics Co.,Ltd",about 1 hour ago
7,326 E Main St #6496,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.19.3 Chrome/91.0.4472.164 Electron/13.2.1 Safari/537.36",Intel Corporate,40 minutes ago
10,26659 N 13th St,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
7,92 Main St,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",Intel Corporate,9 minutes ago
10,61 13 Stoneridge #835,"server-bag [Mac OS X,10.14.6,18G9323,MacBookAir8,2]","Samsung Electronics Co.,Ltd",29 minutes ago
10,70 W Main St,OfficeClickToRun,"Samsung Electronics Co.,Ltd",about 1 hour ago
12,42744 Hamann Industrial Pky #82,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,about 1 hour ago
10,229 N Forty Driv,"server-bag [macOS,11.5.2,20G95,MacBookAir9,1]",Intel Corporate,about 1 hour ago
12,8927 Vandever Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,about 1 hour ago
6,9122 Carpenter Ave,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
8,2 Monroe St,okhttp/3.12.3,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",25 minutes ago
12,70 Mechanic St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Apple, Inc.",about 1 hour ago
10,3958 S Dupont Hwy #7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
12,2737 Pistorio Rd #9230,"Mozilla/5.0 (Linux; Android 11; SM-G770F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
12,7 West Ave #1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,about 1 hour ago
11,47154 Whipple Ave Nw,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.19.3 Chrome/91.0.4472.164 Electron/13.2.1 Safari/537.36",Intel Corporate,40 minutes ago
8,4671 Alemany Blvd,Facebook,Intel Corporate,24 minutes ago
8,1 Huntwood Ave,okhttp/3.12.3,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",25 minutes ago
12,5 N Cleveland Massillon Rd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",Unknown,42 minutes ago
9,3273 State St,"Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-J320F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/13.2 Chrome/83.0.4103.106 Mobile Safari/537.36","Hon Hai Precision Ind. Co.,Ltd.",about 1 hour ago
8,3 Elmwood Dr,"Mozilla/5.0 (Linux; Android 9; Note_7P Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
5,3882 W Congress St #799,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
6,65 W Maple Ave,GoogleSoftwareUpdate/1.3.16.180 CFNetwork/978.6 Darwin/18.7.0 (x86_64),Intel Corporate,about 1 hour ago
11,87895 Concord Rd,OfficeClickToRun,"Samsung Electronics Co.,Ltd",about 1 hour ago
10,627 Walford Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","Apple, Inc.",about 1 hour ago
7,3305 Nabell Ave #679,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
8,38773 Gravois Ave,"Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-J320F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/13.2 Chrome/83.0.4103.106 Mobile Safari/537.36","Hon Hai Precision Ind. Co.,Ltd.",about 1 hour ago
11,14288 Foster Ave #4121,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","Apple, Inc.",about 1 hour ago
5,83649 W Belmont Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",Intel Corporate,about 1 hour ago
7,53075 Sw 152nd Ter #615,Facebook,"Huawei Device Co., Ltd.",about 1 hour ago
8,501 N 19th Ave,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Unknown,about 1 hour ago
8,63 E Aurora Dr,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0;),AzureWave Technology Inc.,28 minutes ago
10,170 Wyoming Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","Apple, Inc.",about 1 hour ago
12,3 State Route 35 S,"Mozilla/5.0 (Linux; Android 9; Note_7P Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
7,56 E Morehead St,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47",Unknown,42 minutes ago
6,810 N La Brea Ave,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.47","Samsung Electronics Co.,Ltd",about 1 hour ago
11,868 State St #38,"Mozilla/5.0 (Linux; Android 9; Note_7P Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.4577.62 Mobile Safari/537.36","Apple, Inc.",about 1 hour ago
9,89992 E 15th St,"Mozilla/5.0 (X11; CrOS x86_64 13982.88.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.162 Safari/537.36",Unknown,5 minutes ago
8,55 Riverside Ave,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36","Apple, Inc.",about 1 hour ago
5,366 South Dr,"server-bag [Mac OS X,10.14.6,18G8012,MacBook10,1]",Intel Corporate,38 minutes ago
9,26 Montgomery St,"Mozilla/5.0 (Windows NT 10.0: Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Xiaomi Communications Co Ltd,about 1 hour ago
12,6 S Broadway St,Microsoft Office/16.0 (Windows NT 10.0; Microsoft Word 16.0.13801; Pro),Intel Corporate,40 minutes ago
10,6 Middlegate Rd #106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",Unknown,about 1 hour ago
10,97 Airport Loop Dr,"server-bag [Mac OS X,10.15.7,19H1030,MacBookPro16,3]",Intel Corporate,40 minutes ago
10,18 3rd Ave,GoogleSoftwareUpdate/1.3.16.180 CFNetwork/978.6 Darwin/18.7.0 (x86_64),Intel Corporate,about 1 hour ago
